Location_ID,County,City,State,Postal Code,Vehicle Location,Longitude,Latitude
L000382,King,Kent,WA,98031,POINT (-122.2012521 47.3931814),-122.2012521,47.3931814
L000383,King,Bellevue,WA,98004,POINT (-122.202397 47.619252),-122.202397,47.619252
L000384,King,Kirkland,WA,98033,POINT (-122.20264 47.6785),-122.20264,47.6785
L000385,Pierce,Orting,WA,98360,POINT (-122.2032237 47.0942956),-122.2032237,47.0942956
L000386,King,Bothell,WA,98011,POINT (-122.20578 47.762405),-122.20578,47.762405
L000387,Skagit,Sedro-Woolley,WA,98284,POINT (-122.206642 48.532503),-122.206642,48.532503
L000388,Snohomish,Everett,WA,98201,POINT (-122.20722 47.979935),-122.20722,47.979935
L000389,King,Kirkland,WA,98034,POINT (-122.209285 47.71124),-122.209285,47.71124
L000390,King,Renton,WA,98057,POINT (-122.21024 47.4797047),-122.21024,47.4797047
L000391,Snohomish,Bothell,WA,98021,POINT (-122.2107298 47.7977268),-122.2107298,47.7977268
L000392,Whatcom,Glacier,WA,98244,POINT (-122.2121108 48.8228838),-122.2121108,48.8228838
L000393,Snohomish,Marysville,WA,98271,POINT (-122.214081 48.102812),-122.214081,48.102812
L000394,King,Auburn,WA,98002,POINT (-122.222855 47.305065),-122.222855,47.305065
L000395,San Mateo,Redwood City,CA,94063,POINT (-122.223965 37.48549),-122.223965,37.48549
L000396,Pierce,Kapowsin,WA,98344,POINT (-122.223984 46.986084),-122.223984,46.986084
L000397,Snohomish,Everett,WA,98208,POINT (-122.2247757 47.9156409),-122.2247757,47.9156409
L000398,Snohomish,Everett,WA,98203,POINT (-122.225874 47.945309),-122.225874,47.945309
L000399,King,Mercer Island,WA,98040,POINT (-122.2283088 47.5737238),-122.2283088,47.5737238
L000400,Whatcom,Sumas,WA,98295,POINT (-122.2352564 48.9769756),-122.2352564,48.9769756
L000401,King,Kent,WA,98032,POINT (-122.235475 47.3809),-122.235475,47.3809
L000402,King,Medina,WA,98039,POINT (-122.2363532 47.621118),-122.2363532,47.621118
L000403,Skagit,Clearlake,WA,98235,POINT (-122.2366265 48.4606536),-122.2366265,48.4606536
L000404,Pierce,Sumner,WA,98390,POINT (-122.23825 47.201625),-122.23825,47.201625
L000405,Alameda,Alameda,CA,94501,POINT (-122.238665 37.76311),-122.238665,37.76311
L000406,Snohomish,Everett,WA,98204,POINT (-122.240535 47.91139),-122.240535,47.91139
L000407,King,Seattle,WA,98178,POINT (-122.2453 47.499708),-122.2453,47.499708
L000408,King,Kenmore,WA,98028,POINT (-122.2478069 47.75817),-122.2478069,47.75817
L000409,King,Pacific,WA,98047,POINT (-122.2509349 47.25013),-122.2509349,47.25013
L000410,Pierce,Eatonville,WA,98328,POINT (-122.270565 46.86822),-122.270565,46.86822
L000411,King,Tukwila,WA,98188,POINT (-122.271716 47.452837),-122.271716,47.452837
L000412,Snohomish,Lynnwood,WA,98087,POINT (-122.27336 47.861417),-122.27336,47.861417
L000413,King,Seattle,WA,98118,POINT (-122.2753318 47.5411053),-122.2753318,47.5411053
L000414,Pierce,South Hill,WA,98374,POINT (-122.275748 47.1395924),-122.275748,47.1395924
L000415,Lewis,Morton,WA,98356,POINT (-122.27838 46.556285),-122.27838,46.556285
L000416,Alameda,Berkeley,CA,94707,POINT (-122.2786898 37.8993202),-122.2786898,37.8993202
L000417,Snohomish,Lynnwood,WA,98037,POINT (-122.283973 47.838697),-122.283973,47.838697
L000418,King,Auburn,WA,98001,POINT (-122.2849393 47.3384055),-122.2849393,47.3384055
L000419,King,Burien,WA,98168,POINT (-122.286465 47.476),-122.286465,47.476
L000420,Snohomish,Lynnwood,WA,98036,POINT (-122.287143 47.812199),-122.287143,47.812199
L000421,Pierce,Edgewood,WA,98372,POINT (-122.28718 47.190465),-122.28718,47.190465
L000422,Skagit,Mount Vernon,WA,98274,POINT (-122.2881784 48.4128748),-122.2881784,48.4128748
L000423,Cowlitz,Cougar,WA,98616,POINT (-122.2885884 46.0588962),-122.2885884,46.0588962
L000424,Pierce,Graham,WA,98338,POINT (-122.2953401 47.0763961),-122.2953401,47.0763961
L000425,King,Seatac,WA,98158,POINT (-122.2965536 47.4433074),-122.2965536,47.4433074
L000426,Alameda,Berkeley,CA,94710,POINT (-122.298305 37.873415),-122.298305,37.873415
L000427,Pierce,South Hill,WA,98373,POINT (-122.2987976 47.13795),-122.2987976,47.13795
L000428,Pierce,Puyallup,WA,98371,POINT (-122.299155 47.19178),-122.299155,47.19178
L000429,Snohomish,Mukilteo,WA,98275,POINT (-122.29943 47.912654),-122.29943,47.912654
L000430,King,Seattle,WA,98112,POINT (-122.300312 47.629782),-122.300312,47.629782
L000431,King,Seattle,WA,98125,POINT (-122.304356 47.715668),-122.304356,47.715668
L000432,King,Seattle,WA,98144,POINT (-122.30823 47.581975),-122.30823,47.581975
L000433,King,Seattle,WA,98122,POINT (-122.30839 47.610365),-122.30839,47.610365
L000434,Snohomish,Mountlake Terrace,WA,98043,POINT (-122.30842 47.78416),-122.30842,47.78416
L000435,Pierce,Puyallup,WA,98375,POINT (-122.3085456 47.1042426),-122.3085456,47.1042426
L000436,King,Federal Way,WA,98003,POINT (-122.31327 47.32309),-122.31327,47.32309
L000437,King,Shoreline,WA,98155,POINT (-122.3175 47.7578146),-122.3175,47.7578146
